Date,Open,High,Low,Close,Adj Close
2004/1/1,10452.74023,10705.17969,10367.41016,10488.07031,10488.07031
2004/2/1,10487.78027,10753.62988,10434.66992,10583.91992,10583.91992
2004/3/1,10582.25,10695.54981,10007.49023,10357.7002,10357.7002
2004/4/1,10357.51953,10570.80957,10219.17969,10225.57031,10225.57031
2004/5/1,10227.26953,10386.32031,9852.19043,10188.4502,10188.4502
2004/6/1,10187.17969,10498.66992,10134.86035,10435.48047,10435.48047
2004/7/1,10434,10448.08984,9913.919922,10139.70996,10139.70996
2004/8/1,10138.4502,10211.25,9783.910156,10173.91992,10173.91992
2004/9/1,10170.12012,10363.36035,9977.919922,10080.26953,10080.26953
2004/10/1,10082.04004,10270.37012,9708.400391,10027.46973,10027.46973
2004/11/1,10028.73047,10602.84961,10010.15039,10428.01953,10428.01953
2004/12/1,10425.79981,10868.07031,10418.62988,10783.00977,10783.00977
2005/1/1,10783.75,10867.38965,10368.61035,10489.94043,10489.94043
2005/2/1,10489.71973,10853.42969,10489.63965,10766.23047,10766.23047
2005/3/1,10769.04004,10984.45996,10396.24023,10503.75977,10503.75977
2005/4/1,10504.57031,10568.92969,10000.45996,10192.50977,10192.50977
2005/5/1,10192,10560.80957,10075.54981,10467.48047,10467.48047
2005/6/1,10462.86035,10656.29004,10253.49023,10274.96973,10274.96973
2005/7/1,10273.58984,10717.73047,10175.40039,10640.91016,10640.91016
2005/8/1,10641.78027,10719.41016,10349.37012,10481.59961,10481.59961
2005/9/1,10481.44043,10701.80957,10350.95996,10568.7002,10568.7002
2005/10/1,10569.5,10608.55957,10156.45996,10440.07031,10440.07031
2005/11/1,10440.07031,10959.79004,10388.75977,10805.87012,10805.87012
2005/12/1,10806.03027,10940.33984,10709.41992,10717.5,10717.5
2006/1/1,10718.29981,11047.75977,10661.15039,10864.86035,10864.86035
2006/2/1,10862.13965,11159.17969,10737.66992,10993.41016,10993.41016
2006/3/1,10993.25,11334.95996,10922.73047,11109.32031,11109.32031
2006/4/1,11113,11417.66016,11039.12012,11367.13965,11367.13965
2006/5/1,11367.78027,11670.19043,11030.46973,11168.30957,11168.30957
2006/6/1,11169.03027,11285.82031,10698.84961,11150.21973,11150.21973
2006/7/1,11149.33984,11257.08008,10683.32031,11185.67969,11185.67969
2006/8/1,11184.79981,11407.08008,11042.63965,11381.15039,11381.15039
2006/9/1,11382.75,11741.99023,11323.83984,11679.07031,11679.07031
2006/10/1,11678.99023,12167.01953,11653.05957,12080.73047,12080.73047
2006/11/1,12080.25,12361,11965.30957,12221.92969,12221.92969
2006/12/1,12220.96973,12529.87988,12089.98047,12463.15039,12463.15039
2007/1/1,12459.54004,12657.01953,12337.37012,12621.69043,12621.69043
2007/2/1,12617.2002,12795.92969,12086.05957,12268.62988,12268.62988
2007/3/1,12268.62988,12511.04981,11939.61035,12354.34961,12354.34961
2007/4/1,12354.51953,13162.05957,12324.28027,13062.91016,13062.91016
2007/5/1,13062.75,13673.07031,13041.29981,13627.63965,13627.63965
2007/6/1,13628.69043,13692,13251.53027,13408.62012,13408.62012
2007/7/1,13409.59961,14021.9502,13199.79004,13211.99023,13211.99023
2007/8/1,13211.08984,13695.82031,12517.94043,13357.74023,13357.74023
2007/9/1,13358.38965,13924.80957,13021.92969,13895.62988,13895.62988
2007/10/1,13895.70996,14198.09961,13407.49023,13930.00977,13930.00977
2007/11/1,13924.16016,13924.16016,12724.08984,13371.71973,13371.71973
