date,2012_pre,2016_hillary,2016_pre,all_pre,obama,clinton_hillary,hillary,auguration,auguration_obama,obama_michelle,obama,trunp_borderwall,trunp_electionresults,trump_election,trump_family,inauguration_trump,trump_ivana,trump_ivanka,trump_marla,trump_melania,trump_news,trump_obama,trump_speech_today,trump_tiffany,trump_today,trump_tweets_today,trump,twitter_obama,twitter_trump
2004/1/1,0,0,1,28,0,3,4,1,0,0,0,0,0,0,0,0,3,3,8,1,0,0,0,1,0,0,2,0,0
2004/2/1,0,0,1,33,0,2,3,1,0,0,0,0,0,0,0,0,4,3,6,1,0,0,0,1,0,0,2,0,0
2004/3/1,0,0,1,25,1,2,3,1,0,0,0,0,0,0,0,0,3,2,6,1,0,0,0,1,0,0,2,0,0
2004/4/1,0,0,1,23,0,2,3,1,0,0,0,0,0,0,0,0,5,3,12,2,0,0,0,2,0,0,3,0,0
2004/5/1,0,0,1,22,0,2,3,1,0,0,0,0,0,0,0,0,4,1,5,2,0,0,0,1,0,0,1,0,0
2004/6/1,0,0,1,26,1,2,5,1,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,1,0,0,1,0,0
2004/7/1,0,0,1,20,8,3,5,1,0,2,4,0,0,0,0,0,3,1,2,2,0,0,0,0,0,0,2,0,0
2004/8/1,0,0,2,19,3,2,3,1,0,1,2,0,0,0,0,0,4,1,2,1,0,0,0,0,0,0,1,0,0
2004/9/1,0,0,3,28,1,2,3,1,0,0,1,0,0,0,0,0,8,1,9,1,0,0,0,1,0,0,1,0,0
2004/10/1,0,0,8,46,1,2,3,1,0,0,1,0,0,0,0,0,4,1,3,1,0,0,0,0,0,0,2,0,0
2004/11/1,0,0,26,50,4,4,5,3,0,0,2,0,0,0,0,0,2,1,3,2,0,0,0,1,0,0,2,0,0
2004/12/1,0,0,1,18,1,1,2,3,0,0,0,0,0,0,0,0,6,1,5,1,0,0,0,1,0,0,2,0,0
2005/1/1,0,0,1,24,2,2,3,21,0,0,1,0,0,0,1,0,6,2,20,7,0,0,0,2,0,0,2,0,0
2005/2/1,0,0,0,26,1,3,3,2,0,0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,1,0,0
2005/3/1,0,0,0,18,1,2,3,1,0,0,0,0,0,0,0,0,2,1,3,2,0,0,0,0,0,0,1,0,0
2005/4/1,0,0,0,19,1,2,3,1,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,1,0,0,1,0,0
2005/5/1,0,0,0,18,0,2,3,1,0,0,0,0,0,0,0,0,6,1,11,1,0,0,0,1,0,0,2,0,0
2005/6/1,0,0,0,13,1,2,3,1,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,1,0,0
2005/7/1,0,0,0,11,0,2,3,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0
2005/8/1,0,0,0,13,1,2,3,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,1,0,0,1,0,0
